Gene	count_L05_mRNA	count_L02_mRNA	count_L11_mRNA	count_L04_mRNA	count_L10_mRNA	count_L03_mRNA	count_L06_mRNA	count_L12_mRNA	count_L01_mRNA
PH02Gene00396	9	4	18	7	14	8	22	8	0
PH02Gene00397	2	0	13	3	8	0	4	2	0
PH02Gene00398	4	2	0	14	10	0	7	1	1
PH02Gene00399	0	10	7	14	12	9	21	0	4
PH02Gene00400	0	0	10	0	0	2	0	2	0
PH02Gene00401	71	16	68	32	51	21	47	55	26
PH02Gene00402	12	6	18	9	4	5	30	19	0
PH02Gene00403	0	0	2	0	1	4	5	2	1
PH02Gene00404	14	6	10	16	22	6	10	6	2
PH02Gene00405	9	10	22	21	26	13	6	22	10
PH02Gene00406	10	6	20	4	16	8	8	10	11
PH02Gene00407	8	0	8	0	4	6	2	16	0
PH02Gene00408	1	0	5	0	8	2	6	15	0
PH02Gene00409	0	0	1	0	0	0	0	0	0
PH02Gene00410	0	0	1	4	0	0	0	0	0
PH02Gene00411	0	0	0	5	4	0	9	12	0
PH02Gene00412	2	0	4	2	12	4	22	4	4
PH02Gene00413	37	13	36	26	12	12	9	21	16
PH02Gene00414	2	24	2	0	0	2	2	0	5
PH02Gene00415	2	0	4	0	4	0	5	5	6
PH02Gene00416	14	8	10	7	16	8	22	22	7
PH02Gene00417	3	0	9	10	4	0	6	4	0
PH02Gene00418	4	0	6	3	6	0	4	0	0
PH02Gene00419	1	1	2	11	6	0	23	0	1
PH02Gene00420	19	26	12	21	41	17	19	40	17
PH02Gene00421	20	71	20	0	14	17	15	14	56
PH02Gene00422	6	10	6	2	8	13	3	13	11
PH02Gene00423	0	0	8	0	0	0	0	0	0
PH02Gene00424	0	0	7	0	6	6	0	9	0
PH02Gene00425	14	18	41	16	6	30	16	28	7
PH02Gene00426	11	5	18	6	6	12	8	0	5
PH02Gene00427	0	0	4	2	8	0	0	2	0
PH02Gene00428	12	2	10	4	6	12	12	16	0
PH02Gene00429	1	0	4	2	1	0	8	1	1
PH02Gene00430	7	0	11	16	7	10	10	1	2
PH02Gene00431	1	0	0	0	0	0	0	8	0
PH02Gene00432	0	11	9	10	3	16	0	3	0
PH02Gene00433	4	2	8	0	5	13	8	10	4
PH02Gene00434	0	0	1	0	5	0	0	0	0
PH02Gene00435	71	89	90	70	128	62	53	123	82
PH02Gene00436	0	10	6	0	5	2	0	6	4
