Gene	count_L05_mRNA	count_L02_mRNA	count_L11_mRNA	count_L04_mRNA	count_L10_mRNA	count_L03_mRNA	count_L06_mRNA	count_L12_mRNA	count_L01_mRNA
PH02Gene00498	0	0	6	0	0	0	0	1	0
PH02Gene00499	6	2	5	1	10	2	0	2	0
PH02Gene00500	1	0	0	6	2	4	2	2	1
PH02Gene00501	0	0	4	0	3	1	7	3	0
PH02Gene00502	62	8	3	20	10	4	51	8	0
PH02Gene00503	34	102	16	25	7	65	26	22	35
PH02Gene00504	9	6	10	4	21	0	10	11	2
PH02Gene00505	16	14	39	7	26	8	12	26	6
PH02Gene00506	0	0	0	0	6	0	0	0	0
PH02Gene00507	1	1	3	2	2	4	5	4	0
PH02Gene00508	1	0	0	0	0	0	0	1	0
PH02Gene00509	4	0	11	7	8	0	12	6	0
PH02Gene00510	6	0	0	0	0	0	0	0	0
PH02Gene00511	6	1	9	14	6	0	7	11	0
PH02Gene00512	12	0	8	8	9	1	3	3	0
PH02Gene00513	2	4	10	8	30	0	11	3	2
PH02Gene00514	75	1	20	44	7	1	38	26	11
PH02Gene00515	259	8	38	84	10	3	206	21	6
PH02Gene00516	0	1	16	8	4	2	9	11	0
PH02Gene00517	26	103	74	16	56	113	22	70	54
PH02Gene00518	31	130	44	18	57	105	33	33	65
PH02Gene00519	6	0	18	4	20	0	12	2	0
PH02Gene00520	0	0	3	0	0	0	0	0	0
PH02Gene00521	8	0	5	0	13	0	0	0	0
PH02Gene00522	0	2	17	26	16	5	21	22	0
PH02Gene00523	14	16	13	6	9	14	27	8	9
PH02Gene00524	84	37	6	24	11	26	24	8	31
PH02Gene00525	12	0	2	8	10	0	13	4	1
PH02Gene00526	0	0	0	0	0	0	0	4	0
PH02Gene00527	9	2	5	6	6	0	0	16	1
PH02Gene00528	0	1	0	3	3	0	7	8	0
PH02Gene00529	9	0	12	3	4	13	14	3	4
PH02Gene00530	0	0	0	0	0	0	0	0	0
PH02Gene00531	2	0	1	5	5	8	7	22	2
PH02Gene00532	0	7	34	4	6	5	10	14	6
PH02Gene00533	0	0	4	0	2	3	0	1	0
PH02Gene00534	4	2	19	23	25	0	13	4	0
PH02Gene00535	1	0	5	0	1	5	0	0	0
PH02Gene00536	13	20	20	7	13	18	41	24	14
PH02Gene00537	40	46	48	25	63	28	61	52	22
PH02Gene00538	9	1	23	13	11	4	10	27	1
PH02Gene00539	0	0	4	3	4	0	8	12	0
PH02Gene00540	1	0	0	2	0	2	0	7	0
PH02Gene00541	33	23	2	22	2	7	52	3	13
PH02Gene00542	40	16	16	25	14	2	24	10	18
PH02Gene00543	64	52	30	50	28	20	36	18	28
PH02Gene00544	0	0	1	0	4	0	4	6	0
PH02Gene00545	0	4	12	1	10	1	10	5	0
PH02Gene00546	0	6	1	0	4	0	10	0	0
PH02Gene00547	6	0	4	4	2	1	8	6	0
PH02Gene00548	0	0	5	4	8	0	0	2	0
PH02Gene00549	1	0	0	0	0	0	0	0	0
PH02Gene00550	1	0	2	7	4	3	0	15	2
PH02Gene00551	2	2	2	4	5	1	1	0	0
PH02Gene00552	4	7	26	4	26	6	21	28	0
PH02Gene00553	11	4	11	12	13	22	9	16	11
PH02Gene00554	13	0	1	6	0	1	8	6	0
PH02Gene00555	3	0	14	2	6	0	2	5	0
PH02Gene00556	10	0	6	0	2	0	6	4	0
PH02Gene00557	3	0	30	6	7	8	16	6	0
PH02Gene00558	2	1	12	8	5	0	1	1	0
PH02Gene00559	0	0	1	6	2	1	0	6	0
PH02Gene00560	2	0	10	18	1	7	3	6	8
PH02Gene00561	14	8	25	21	15	1	29	16	0
PH02Gene00562	6	8	16	4	20	22	7	14	16
PH02Gene00563	2	0	10	8	0	0	5	3	0
PH02Gene00564	58	21	4	37	4	8	13	8	8
PH02Gene00565	38	80	30	26	27	38	54	31	22
PH02Gene00566	588	50	30	1077	21	13	570	26	27
PH02Gene00567	0	5	9	7	11	2	10	11	0
PH02Gene00568	6	0	10	6	12	1	5	2	0
PH02Gene00569	23	16	20	7	43	12	21	16	6
PH02Gene00570	3	1	23	1	14	6	8	12	0
PH02Gene00571	2	1	3	4	11	8	22	8	0
PH02Gene00572	14	4	2	12	8	4	4	18	0
PH02Gene00573	2	0	6	1	0	0	4	2	0
PH02Gene00574	0	0	0	6	0	8	1	6	0
PH02Gene00575	0	0	2	18	8	8	19	8	0
PH02Gene00576	2	0	5	5	1	4	0	2	0
PH02Gene00577	11	4	24	4	4	6	2	8	2
PH02Gene00578	3	0	5	13	17	2	2	15	2
PH02Gene00579	0	0	0	0	1	0	0	0	0
PH02Gene00580	0	0	4	7	3	6	0	6	0
PH02Gene00581	0	12	2	18	22	7	4	8	0
PH02Gene00582	12	0	17	20	25	4	20	19	0
PH02Gene00583	4	0	2	0	4	0	15	3	0
PH02Gene00584	21	24	52	55	49	23	49	63	10
PH02Gene00585	5	0	6	9	10	0	15	5	1
PH02Gene00586	2	0	12	8	8	0	23	2	0
PH02Gene00587	0	0	19	7	1	0	12	8	0
PH02Gene00588	5	1	7	5	2	1	3	1	0
PH02Gene00589	1	0	2	0	0	0	6	10	0
PH02Gene00590	2	0	9	1	12	0	8	7	0
PH02Gene00591	12	2	13	2	4	2	15	4	1
PH02Gene00592	3	0	10	6	4	0	9	11	0
PH02Gene00593	0	0	2	8	4	0	11	3	1
PH02Gene00594	21	0	5	8	33	2	22	20	0
PH02Gene00595	0	0	0	6	0	2	12	8	4
PH02Gene00596	8	2	20	10	8	1	7	3	6
PH02Gene00597	0	0	1	6	0	0	1	4	0
PH02Gene00598	11	11	2	10	0	4	11	0	2
PH02Gene00599	0	0	2	14	2	0	2	6	0
PH02Gene00600	2	1	1	0	12	2	3	7	0
PH02Gene00601	0	0	1	4	5	1	0	2	0
PH02Gene00602	1	0	0	0	3	0	2	1	2
PH02Gene00603	4	0	7	16	6	0	13	0	0
PH02Gene00604	0	0	4	2	0	0	0	0	0
PH02Gene00605	5	12	0	12	3	8	2	4	10
PH02Gene00606	0	0	0	0	1	0	0	0	0
PH02Gene00607	0	0	14	0	0	4	4	5	0
PH02Gene00608	0	4	4	4	14	0	2	14	0
PH02Gene00609	54	53	72	50	37	75	77	40	69
PH02Gene00610	2	7	12	6	2	0	23	5	0
PH02Gene00611	0	0	2	0	3	0	1	0	0
PH02Gene00612	1	2	8	6	2	0	13	11	0
PH02Gene00613	2	19	26	17	20	3	22	6	7
PH02Gene00614	1	0	5	14	4	0	16	3	0
PH02Gene00615	4	0	8	2	5	1	8	4	0
PH02Gene00616	0	0	13	3	0	3	4	7	0
PH02Gene00617	1	0	2	0	2	5	6	4	0
PH02Gene00618	0	0	4	13	6	0	2	4	0
PH02Gene00619	0	0	0	3	10	0	0	5	0
PH02Gene00620	14	6	6	11	10	1	13	2	7
PH02Gene00621	1	4	8	10	1	2	1	0	1
PH02Gene00622	8	0	0	4	14	2	16	10	0
PH02Gene00623	6	4	7	2	0	2	6	9	0
PH02Gene00624	1	0	8	8	4	1	0	4	6
PH02Gene00625	0	12	3	0	7	12	14	5	2
PH02Gene00626	3	0	4	0	2	0	0	2	0
PH02Gene00627	0	2	1	0	13	5	0	5	7
PH02Gene00628	49	174	157	28	127	106	33	156	102
PH02Gene00629	0	0	5	0	10	0	4	2	0
PH02Gene00630	0	4	1	0	0	2	0	1	0
PH02Gene00631	2	0	23	14	17	0	13	3	1
PH02Gene00632	17	12	11	21	16	14	17	12	15
PH02Gene00633	59	165	17	5	14	59	33	14	92
PH02Gene00634	17	40	51	6	39	42	23	55	12
PH02Gene00635	49	100	70	19	55	92	35	37	54
PH02Gene00636	4	0	5	0	4	0	2	4	4
PH02Gene00637	0	4	14	5	0	0	8	7	0
PH02Gene00638	11	0	12	18	16	7	8	2	2
PH02Gene00639	10	0	6	22	14	4	18	20	0
PH02Gene00640	0	0	10	11	0	0	2	3	0
PH02Gene00641	0	0	5	8	0	1	7	0	4
PH02Gene00642	1	0	34	19	13	6	2	18	1
PH02Gene00643	0	0	4	0	0	0	14	1	0
PH02Gene00644	0	0	4	3	1	0	6	3	0
PH02Gene00645	0	0	5	6	1	0	9	1	0
PH02Gene00646	3	0	6	1	9	2	2	11	0
PH02Gene00647	0	0	6	2	0	0	6	12	0
PH02Gene00648	1	0	4	2	4	0	0	0	0
PH02Gene00649	1	3	7	7	6	0	2	9	0
PH02Gene00650	5	0	4	1	0	0	4	0	0
PH02Gene00651	0	20	14	2	4	14	4	6	10
PH02Gene00652	62	367	49	16	49	34	65	27	26
PH02Gene00653	13	0	14	4	13	15	23	12	26
PH02Gene00654	4	1	16	2	12	0	5	7	0
PH02Gene00655	10	1	8	10	4	1	2	16	0
PH02Gene00656	3	0	6	9	11	1	4	3	0
PH02Gene00657	28	13	32	21	29	12	33	31	11
PH02Gene00658	8	0	5	3	12	0	5	10	0
PH02Gene00659	0	0	18	9	8	0	12	20	1
PH02Gene00660	6	11	10	8	22	7	12	12	5
PH02Gene00661	0	0	1	0	4	0	0	0	0
PH02Gene00662	6	0	4	7	16	1	1	9	0
PH02Gene00663	0	2	2	0	4	2	2	10	0
PH02Gene00664	7	0	10	4	13	4	2	1	1
PH02Gene00665	0	0	6	0	2	5	2	6	0
PH02Gene00666	6	1	10	0	4	1	16	11	0
PH02Gene00667	27	6	30	9	3	7	38	31	6
PH02Gene00668	33	3	32	49	28	15	45	40	5
PH02Gene00669	11	3	15	2	17	0	18	18	0
PH02Gene00670	6	0	2	8	4	2	2	0	0
PH02Gene00671	2	18	10	8	15	21	1	12	0
PH02Gene00672	13	4	7	3	2	0	0	0	3
PH02Gene00673	31	34	32	20	10	4	8	11	5
PH02Gene00674	40	58	75	35	81	27	37	52	53
PH02Gene00675	18	6	29	31	21	0	20	11	2
PH02Gene00676	0	0	2	1	6	4	6	2	0
PH02Gene00677	1	0	2	2	7	4	5	5	0
PH02Gene00678	2	0	0	2	20	0	11	4	0
PH02Gene00679	5	2	7	9	8	6	34	26	4
PH02Gene00680	10	6	15	4	10	0	22	14	0
PH02Gene00681	8	1	10	5	15	1	4	16	0
PH02Gene00682	139	1121	119	106	85	179	142	97	414
PH02Gene00683	1	2	9	2	2	0	5	1	0
PH02Gene00684	0	0	0	0	0	3	5	0	1
PH02Gene00685	39	12	32	20	8	18	12	25	8
PH02Gene00686	0	1	8	2	0	0	0	0	0
PH02Gene00687	1	0	6	1	0	1	4	11	0
PH02Gene00688	0	0	6	1	4	0	0	4	0
PH02Gene00689	1	0	0	0	6	0	0	0	0
PH02Gene00690	10	0	5	7	0	1	8	4	1
PH02Gene00691	0	1	10	16	13	0	35	6	0
PH02Gene00692	2	1	26	5	6	0	10	8	0
PH02Gene00693	10	8	22	12	11	7	22	20	0
PH02Gene00694	18	2	6	20	1	8	5	19	0
PH02Gene00695	1	0	11	9	3	1	2	4	0
PH02Gene00696	4	4	12	4	2	4	12	10	0
PH02Gene00697	0	1	3	10	19	0	14	14	2
PH02Gene00698	6	4	2	23	5	6	19	10	0
PH02Gene00699	8	1	10	14	6	0	12	8	1
PH02Gene00700	188	350	198	68	199	138	181	188	85
PH02Gene00701	100	206	155	67	117	189	123	101	174
PH02Gene00702	30	29	28	2	22	25	13	12	24
PH02Gene00703	32	23	6	10	18	28	12	12	10
PH02Gene00704	102	92	140	74	112	85	53	115	71
PH02Gene00705	695	419	616	388	558	331	567	556	343
PH02Gene00706	0	0	8	0	1	0	6	0	4
PH02Gene00707	14	3	4	0	2	1	0	14	0
PH02Gene00708	15	5	19	12	11	2	8	14	8
PH02Gene00709	0	0	5	0	0	0	8	1	0
PH02Gene00710	0	11	12	7	13	12	5	14	12
PH02Gene00711	34	214	25	46	12	123	48	24	65
PH02Gene00712	6	61	8	7	0	43	5	7	30
PH02Gene00713	4	6	11	12	4	5	7	18	2
PH02Gene00714	15	0	6	1	0	0	1	0	0
PH02Gene00715	0	0	0	1	0	0	0	0	0
PH02Gene00716	0	0	4	0	2	4	5	6	0
PH02Gene00717	6	3	6	6	3	4	5	8	0
PH02Gene00718	92	2	8	44	17	2	39	1	0
PH02Gene00719	22	0	8	20	15	6	4	1	2
PH02Gene00720	6	0	6	3	0	0	0	1	0
PH02Gene00721	29	12	37	38	31	19	52	38	15
PH02Gene00722	58	141	7	55	3	62	81	8	73
PH02Gene00723	0	6	0	4	8	0	10	4	0
PH02Gene00724	2	0	8	4	12	0	6	8	0
PH02Gene00725	11	6	27	4	37	4	16	10	3
PH02Gene00726	0	0	0	0	0	0	0	0	0
PH02Gene00727	0	0	0	0	0	0	0	1	0
PH02Gene00728	0	0	2	5	9	8	4	2	0
PH02Gene00729	4	1	12	14	18	1	8	7	2
PH02Gene00730	0	0	5	11	0	6	5	1	0
PH02Gene00731	3	0	15	0	12	6	12	6	0
PH02Gene00732	9	0	7	18	8	2	9	6	4
PH02Gene00733	4	0	5	16	0	0	8	0	0
PH02Gene00734	6	6	2	4	0	2	4	1	0
PH02Gene00735	8	0	9	3	3	5	2	3	0
PH02Gene00736	4	4	24	6	2	1	12	0	4
PH02Gene00737	9	8	27	32	10	4	14	7	4
PH02Gene00738	6	0	11	14	0	13	4	14	0
PH02Gene00739	63	167	68	23	49	80	60	54	17
PH02Gene00740	4	2	17	4	11	6	16	7	2
PH02Gene00741	15	91	24	4	22	40	6	29	14
PH02Gene00742	21	2	11	11	14	8	18	4	6
PH02Gene00743	0	0	10	2	8	6	10	6	0
PH02Gene00744	12	0	21	8	12	6	14	23	1
PH02Gene00745	1	0	5	9	3	0	0	2	0
PH02Gene00746	1	0	5	0	5	2	0	0	0
PH02Gene00747	2	6	20	11	6	0	7	18	6
PH02Gene00748	4	0	0	0	0	0	0	0	6
PH02Gene00749	4	4	9	2	5	0	14	6	4
PH02Gene00750	10	1	30	26	16	13	26	15	1
PH02Gene00751	0	0	0	2	11	0	2	4	0
PH02Gene00752	0	0	4	8	3	0	1	2	0
PH02Gene00753	4	1	6	4	7	14	4	9	0
PH02Gene00754	22	6	8	9	5	7	16	3	0
PH02Gene00755	20	0	8	9	19	2	17	15	0
PH02Gene00756	7	1	2	0	0	0	2	0	0
PH02Gene00757	3	0	10	8	17	4	19	15	2
PH02Gene00758	10	1	0	11	2	0	1	4	0
PH02Gene00759	3	0	21	8	5	12	10	2	4
PH02Gene00760	3	8	14	16	4	2	6	7	0
PH02Gene00761	5	7	20	5	2	2	2	0	0
PH02Gene00762	10	2	36	34	39	10	24	34	6
PH02Gene00763	26	7	20	25	33	14	17	36	5
PH02Gene00764	2	0	3	10	0	4	15	1	0
PH02Gene00765	6	1	20	1	6	7	3	10	0
PH02Gene00766	8	1	17	18	3	6	13	10	4
PH02Gene00767	27	16	50	21	8	10	20	32	8
PH02Gene00768	1	0	2	1	11	4	6	17	0
PH02Gene00769	6	20	22	14	19	6	21	33	3
PH02Gene00770	9	46	46	10	34	23	14	24	34
PH02Gene00771	4	0	10	5	0	0	0	1	0
PH02Gene00772	10	0	6	0	2	0	4	0	0
PH02Gene00773	11	45	42	2	29	56	7	13	17
PH02Gene00774	5	1	12	13	4	0	10	26	0
PH02Gene00775	3	1	14	8	16	10	6	7	0
PH02Gene00776	0	2	0	2	0	0	2	8	0
PH02Gene00777	0	0	2	4	0	0	4	2	0
PH02Gene00778	7	0	7	2	16	0	8	14	0
PH02Gene00779	0	0	8	5	5	0	2	1	0
PH02Gene00780	23	10	9	29	8	0	31	0	5
PH02Gene00781	16	18	35	14	22	1	14	21	10
PH02Gene00782	0	0	0	7	0	0	0	0	0
PH02Gene00783	42	39	21	55	18	7	22	40	9
PH02Gene00784	24	63	47	22	36	48	19	16	99
PH02Gene00785	3	0	7	13	5	0	2	3	0
PH02Gene00786	2	0	22	3	5	1	12	6	0
PH02Gene00787	92	2	16	27	6	6	121	6	5
PH02Gene00788	118	27	18	69	2	3	91	4	15
PH02Gene00789	50	0	44	18	17	3	39	32	22
PH02Gene00790	0	0	3	1	3	0	9	1	0
PH02Gene00791	28	17	24	14	33	15	21	41	19
PH02Gene00792	6	2	22	2	2	0	8	6	0
PH02Gene00793	12	3	13	6	15	0	4	9	11
PH02Gene00794	0	4	3	3	4	1	2	12	1
PH02Gene00795	1	0	8	4	0	0	11	10	0
PH02Gene00796	6	2	17	14	19	8	6	28	3
PH02Gene00797	39	4	33	50	10	8	38	15	12
PH02Gene00798	39	31	20	28	20	16	26	10	10
PH02Gene00799	2	0	12	5	5	4	5	4	0
PH02Gene00800	6	12	27	20	12	10	16	8	10
PH02Gene00801	1	0	17	0	15	4	6	2	0
PH02Gene00802	16	6	29	31	27	6	8	25	2
PH02Gene00803	4	6	14	8	6	2	9	6	0
PH02Gene00804	8	4	16	11	3	1	3	32	0
PH02Gene00805	0	0	12	5	0	4	1	0	0
PH02Gene00806	5	6	16	19	27	8	22	37	12
PH02Gene00807	0	0	8	3	0	1	4	3	8
PH02Gene00808	0	0	0	2	0	0	2	1	0
PH02Gene00809	9	0	4	0	0	0	0	1	0
PH02Gene00810	7	5	16	6	20	7	19	7	3
PH02Gene00811	7	0	19	20	11	0	1	16	4
PH02Gene00812	0	0	6	2	0	5	18	14	0
PH02Gene00813	0	0	0	0	1	6	0	0	0
PH02Gene00814	89	27	36	41	21	30	43	44	13
PH02Gene00815	5	15	12	16	12	6	3	15	4
PH02Gene00816	23	70	48	20	42	13	46	14	78
PH02Gene00817	13	39	59	18	25	21	17	31	23
PH02Gene00818	46	9	22	37	10	10	52	32	2
PH02Gene00819	0	0	0	0	0	1	0	1	0
PH02Gene00820	6	0	5	7	7	0	32	19	4
PH02Gene00821	16	0	5	6	12	6	0	7	0
PH02Gene00822	2	6	8	8	6	10	4	14	4
PH02Gene00823	5	0	0	1	0	1	0	0	0
PH02Gene00824	5	9	22	10	11	15	15	12	0
PH02Gene00825	4	12	9	15	21	16	26	17	1
PH02Gene00826	0	12	14	13	15	2	11	10	0
PH02Gene00827	0	0	4	2	0	0	2	4	2
PH02Gene00828	0	0	0	0	0	2	14	6	2
PH02Gene00829	0	0	0	0	0	0	0	0	0
PH02Gene00830	11	4	18	13	8	5	16	11	0
PH02Gene00831	17	1	54	11	12	2	27	17	17
PH02Gene00832	0	6	8	0	9	6	0	0	6
PH02Gene00833	20	5	28	6	21	6	15	14	6
PH02Gene00834	5	4	13	8	3	0	4	15	4
PH02Gene00835	5	0	6	8	9	1	4	3	1
PH02Gene00836	10	4	5	0	16	6	23	10	8
PH02Gene00837	5	0	3	2	1	0	2	0	2
PH02Gene00838	0	0	3	9	0	0	0	6	0
PH02Gene00839	2	18	22	13	20	4	25	23	4
PH02Gene00840	0	0	2	8	6	0	4	4	0
PH02Gene00841	0	0	1	1	0	0	0	1	0
PH02Gene00842	9	0	6	10	6	1	10	4	0
PH02Gene00843	2	0	8	5	4	1	4	3	0
PH02Gene00844	4	1	12	8	2	1	13	0	0
PH02Gene00845	3	0	23	2	3	0	6	7	0
PH02Gene00846	6	0	14	3	11	0	4	5	1
PH02Gene00847	7	41	7	1	1	26	24	5	37
PH02Gene00848	0	2	13	3	4	2	5	4	3
PH02Gene00849	10	0	2	8	0	0	4	8	0
PH02Gene00850	6	4	9	2	4	0	10	8	0
PH02Gene00851	2	0	2	4	4	0	6	4	0
PH02Gene00852	8	0	3	8	0	2	2	5	0
PH02Gene00853	1	2	22	0	12	8	8	9	1
PH02Gene00854	8	13	41	6	18	10	10	35	6
PH02Gene00855	28	8	0	12	2	12	9	1	0
PH02Gene00856	8	0	11	11	13	0	2	3	4
PH02Gene00857	5	9	3	2	1	4	6	6	0
PH02Gene00858	17	4	26	6	29	18	39	15	8
PH02Gene00859	469	2556	554	216	474	1226	294	520	1125
PH02Gene00860	5	0	17	0	4	2	1	1	4
PH02Gene00861	0	0	4	4	0	12	3	4	0
PH02Gene00862	0	0	2	0	2	0	2	6	0
PH02Gene00863	11	4	17	22	15	2	12	21	0
PH02Gene00864	1	0	1	6	0	0	1	0	0
PH02Gene00865	0	0	2	1	2	5	13	1	0
PH02Gene00866	4	0	5	2	8	2	4	7	0
PH02Gene00867	11	0	18	9	11	3	8	4	6
PH02Gene00868	2	0	20	1	10	7	8	3	0
PH02Gene00869	4	0	2	4	0	0	0	0	0
PH02Gene00870	2	2	9	3	10	4	6	0	0
PH02Gene00871	15	0	8	12	4	6	9	16	3
PH02Gene00872	0	0	0	0	0	0	0	0	0
PH02Gene00873	4	10	36	13	20	4	14	1	13
PH02Gene00874	3	0	10	0	4	0	20	4	2
PH02Gene00875	18	5	19	9	5	16	9	8	0
PH02Gene00876	5	4	25	10	17	2	6	14	6
PH02Gene00877	19	33	21	20	12	24	13	4	12
PH02Gene00878	10	2	13	6	9	2	8	6	2
PH02Gene00879	3	4	22	21	6	0	4	13	0
PH02Gene00880	0	0	0	0	4	1	0	0	0
PH02Gene00881	13	0	13	16	27	2	19	9	2
PH02Gene00882	4	2	11	5	2	5	4	11	0
PH02Gene00883	62	17	44	11	45	2	20	33	10
PH02Gene00884	2	11	2	3	13	5	17	0	17
PH02Gene00885	8	0	2	16	6	1	6	4	0
PH02Gene00886	28	76	22	9	29	88	6	19	26
PH02Gene00887	0	0	2	4	6	0	0	0	0
PH02Gene00888	20	20	33	30	24	26	47	30	21
PH02Gene00889	37	9	22	28	29	25	31	9	12
PH02Gene00890	8	87	11	18	2	74	4	13	14
PH02Gene00891	12	4	13	33	15	2	6	4	0
PH02Gene00892	12	2	10	16	6	2	10	14	4
PH02Gene00893	8	0	2	4	4	0	0	3	0
PH02Gene00894	0	4	10	0	0	2	6	0	0
PH02Gene00895	49	104	80	51	85	7	66	75	38
PH02Gene00896	5	8	10	0	0	11	4	15	0
PH02Gene00897	35	16	59	20	40	10	16	75	2
PH02Gene00898	5	4	6	0	2	2	0	13	0
PH02Gene00899	8	8	9	1	12	4	28	10	6
PH02Gene00900	1	0	0	0	0	1	0	0	0
PH02Gene00901	0	0	1	0	0	0	2	0	0
PH02Gene00902	0	0	0	0	0	0	0	4	0
PH02Gene00903	2	0	2	2	4	0	0	2	2
PH02Gene00904	0	0	6	0	0	0	0	0	0
PH02Gene00905	0	0	4	0	0	0	1	0	0
PH02Gene00906	87	26	59	46	15	61	58	34	38
PH02Gene00907	38	29	26	28	8	18	45	5	0
PH02Gene00908	0	0	4	1	0	1	4	4	0
PH02Gene00909	8	0	7	2	2	0	6	13	0
PH02Gene00910	0	0	8	2	3	0	11	11	0
PH02Gene00911	19	0	4	7	5	5	7	32	13
PH02Gene00912	9	0	4	10	2	0	0	2	0
PH02Gene00913	8	0	2	0	4	0	3	0	0
PH02Gene00914	29	25	43	46	35	35	26	50	9
PH02Gene00915	13	63	76	6	112	31	7	60	8
PH02Gene00916	0	0	5	3	0	0	0	4	2
PH02Gene00917	8	0	12	5	8	7	14	0	8
PH02Gene00918	0	4	3	4	5	0	6	1	0
PH02Gene00919	44	21	55	49	39	56	77	37	11
PH02Gene00920	5	0	17	6	14	6	14	6	4
PH02Gene00921	7	6	8	3	11	14	12	5	0
PH02Gene00922	21	116	57	12	6	46	16	20	47
PH02Gene00923	58	11	25	62	14	7	43	13	7
PH02Gene00924	0	0	0	0	0	0	0	0	0
PH02Gene00925	6	6	2	8	7	5	21	2	0
PH02Gene00926	3	7	13	16	7	4	20	9	1
PH02Gene00927	10	8	12	4	3	2	3	11	0
PH02Gene00928	6	4	16	16	11	23	11	26	0
PH02Gene00929	0	0	5	1	7	3	6	4	0
PH02Gene00930	0	0	6	1	6	0	4	6	0
PH02Gene00931	8	0	4	10	16	7	6	5	4
PH02Gene00932	12	2	5	0	4	7	22	9	0
PH02Gene00933	26	15	16	28	4	2	17	12	0
PH02Gene00934	28	18	36	18	35	11	25	24	10
PH02Gene00935	4	1	6	0	9	4	2	2	0
PH02Gene00936	4	2	4	7	11	5	10	8	8
PH02Gene00937	5	2	12	0	7	0	7	9	3
PH02Gene00938	8	22	0	2	0	6	4	0	8
PH02Gene00939	55	48	58	32	45	51	16	67	43
PH02Gene00940	13	0	25	12	3	7	19	28	6
PH02Gene00941	10	2	5	5	0	1	4	6	6
PH02Gene00942	0	0	3	0	5	6	0	6	0
PH02Gene00943	11	12	12	2	26	10	8	6	2
PH02Gene00944	8	0	10	5	0	2	0	3	0
PH02Gene00945	12	0	4	0	0	6	8	11	2
PH02Gene00946	1	0	4	3	4	0	7	7	0
PH02Gene00947	12	0	1	5	4	6	13	6	4
PH02Gene00948	4	6	15	8	0	7	6	0	1
PH02Gene00949	6	5	29	1	7	4	8	25	0
PH02Gene00950	0	1	8	12	16	0	4	9	0
PH02Gene00951	49	282	14	24	9	112	39	0	176
PH02Gene00952	14	1	11	23	0	3	28	0	0
PH02Gene00953	0	1	3	9	0	7	3	0	0
PH02Gene00954	0	0	1	0	0	0	6	0	0
PH02Gene00955	0	0	1	0	0	0	0	0	0
PH02Gene00956	0	0	0	0	0	5	0	0	0
PH02Gene00957	37	3	17	34	10	6	27	23	4
PH02Gene00958	8	6	14	18	8	0	10	14	2
PH02Gene00959	0	12	16	8	25	2	14	18	12
PH02Gene00960	13	2	9	16	4	10	18	28	0
PH02Gene00961	6	0	1	5	4	2	10	1	0
PH02Gene00962	3	4	2	0	1	1	4	10	1
PH02Gene00963	0	1	6	0	0	0	0	1	0
PH02Gene00964	29	4	21	16	28	4	39	21	1
PH02Gene00965	16	1	25	20	4	22	23	16	0
PH02Gene00966	4	0	16	10	4	0	2	16	3
PH02Gene00967	26	0	5	13	16	6	43	0	0
PH02Gene00968	16	1	23	13	2	4	23	16	0
PH02Gene00969	0	0	0	0	0	0	0	0	0
PH02Gene00970	9	0	6	12	9	2	18	6	0
PH02Gene00971	0	0	6	6	2	0	1	1	0
PH02Gene00972	4	0	0	1	0	0	10	6	0
PH02Gene00973	8	6	18	11	6	7	4	8	1
PH02Gene00974	7	10	13	7	19	13	12	12	18
PH02Gene00975	2	6	18	9	1	4	10	7	4
PH02Gene00976	0	1	2	0	14	0	6	1	0
PH02Gene00977	10	0	1	0	4	0	0	0	0
PH02Gene00978	0	0	3	1	3	0	4	2	4
PH02Gene00979	10	20	27	13	4	27	12	8	10
PH02Gene00980	1	0	0	14	9	0	4	2	0
PH02Gene00981	108	191	186	153	189	150	67	143	124
PH02Gene00982	0	0	4	9	16	4	8	1	0
PH02Gene00983	24	0	16	10	25	3	12	9	0
PH02Gene00984	7	0	5	0	2	22	12	16	6
PH02Gene00985	1	4	13	4	19	2	25	13	10
PH02Gene00986	0	0	2	0	0	7	4	6	0
PH02Gene00987	7	1	0	2	2	2	5	7	0
PH02Gene00988	0	0	0	0	0	0	0	0	0
PH02Gene00989	0	0	0	0	0	0	0	0	0
PH02Gene00990	6	1	8	5	4	0	4	6	2
PH02Gene00991	26	23	13	15	5	16	17	11	7
PH02Gene00992	88	11	21	42	29	11	101	22	23
PH02Gene00993	41	0	6	6	1	0	133	2	0
PH02Gene00994	5	0	12	0	4	2	2	3	0
PH02Gene00995	2	0	10	9	1	0	6	0	0
PH02Gene00996	1	0	0	6	2	0	10	8	0
PH02Gene00997	4	0	5	9	16	0	1	4	0
PH02Gene00998	84	28	121	30	73	16	48	63	34
PH02Gene00999	2	0	2	8	4	0	0	6	0
PH02Gene01000	0	0	0	0	0	0	0	0	0
PH02Gene01001	10	43	28	15	25	42	13	40	29
PH02Gene01002	2	1	5	13	5	0	6	7	0
PH02Gene01003	4	0	0	1	0	0	3	3	0
PH02Gene01004	8	0	2	4	2	4	12	0	0
PH02Gene01005	23	2	53	19	33	3	8	28	0
PH02Gene01006	21	2	26	21	18	21	17	22	13
PH02Gene01007	95	144	27	97	37	83	73	22	77
PH02Gene01008	2	0	10	2	4	0	2	12	4
PH02Gene01009	0	0	3	9	2	4	0	4	0
PH02Gene01010	0	0	0	0	4	0	0	4	0
PH02Gene01011	5	0	11	14	4	0	8	1	0
